X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,SCH_CLASS,DISTRICT,PIN,MAJOR,MINOR,FEATUREDES,OSPI_CODE
-122.292951629578,47.6218981880399,186,6600720,442094,660,The Valley School,Valley,318 30th Ave E,98112,-122.29295331,47.62189632,20,SEATTLE,9209900590,920990,0590,School-Elementary,
-122.033910032102,47.5809218414744,187,362,12223,661,Pine Lake Middle School,Pine Lake,3200 228th Ave SE,98075,-122.03391177,47.58091944,10,ISSAQUAH,1024069010,102406,9010,School-Junior High/Middle,3879
-122.067037506914,47.6387327375383,188,6600175,374731,660,Elizabeth Blackwell Elementary School,Elizabeth Blackwell,3225 205th Pl NE,98074,-122.06703899,47.63873045,10,LAKE WASHINGTON,8651590010,865159,0010,School-Elementary,4532
-121.907974686385,47.6523430774265,189,6600696,1008913,664,Riverview Learning Center,Riverview,32302 NE 50th St,98014,-121.90797596,47.6523406,10,RIVERVIEW,1625079060,162507,9060,School-Alternative,
-122.393907887608,47.3092098332788,190,2332,2383,660,Green Gables Elementary School,Green Gables,32607 47th Ave SW,98023,-122.39391117,47.30920817,10,FEDERAL WAY,1421039084,142103,9084,School-Elementary,4426
-121.782079723899,47.4961564619904,191,6600627,26502,664,Two Rivers School,Two Rivers,330 Ballarat Ave N,98045,-121.78208144,47.49615375,10,SNOQUALMIE VALLEY,8570900300,857090,0300,School-Alternative,1502
-122.29057882522,47.5732419642238,192,1178,458345,660,John Muir Elementary School-Seattle,John Muir,3301 S Horton St,98144,-122.29058072,47.57324008,10,SEATTLE,1524049002,152404,9002,School-Elementary,2143
-122.292006778105,47.6715154514399,193,869,349397,660,William Cullen Bryant Elementary School,WC Bryant ,3311 NE 60th St,98115,-122.29200824,47.67151359,10,SEATTLE,8827900180,882790,0180,School-Elementary,0
-122.157173074113,47.280657644136,194,32,54,660,Buena Vista Seventh-day Adventist School,Buena Vista SDA,3320 Academy Dr SE,98092,-122.15717651,47.28065549,20,AUBURN,2721059033,272105,9033,School-Elementary,0
-121.896113799519,47.5695520604178,195,333,2357,660,Fall City Elementary School,Fall City ,33314 SE 42nd St,98024,-121.89611543,47.56954948,10,SNOQUALMIE VALLEY,0943100020,094310,0020,School-Elementary,2222
